District,Seat held in 2015-16,Party,Year elected,STATUS,
55B,Tony Albright,Republican,2012,filed,
62B,Susan Allen,DFL,2012,filed,
50B,Chad Anderson,Republican,2016,filed,
9A,Mark Anderson,Republican,2012,retiring,
12B,Paul Anderson,Republican,2008,filed,http://www.house.leg.state.mn.us/members/members.asp?id=15301
44A,Sarah Anderson,Republican,2006,filed,http://www.house.leg.state.mn.us/members/members.asp?id=15269
5B,Tom Anzelc,DFL,2006,filed,http://www.house.leg.state.mn.us/members/members.asp?id=15251
44B,Jon Applebaum,DFL,2014,filed,http://www.house.leg.state.mn.us/members/members.asp?id=15427
52B,Joe Atkins,DFL,2002,retiring,http://www.house.leg.state.mn.us/members/members.asp?id=10753
12A,Jeff Backer,Republican,2014,filed,
17B,Dave Baker,Republican,2014,filed,
32B,Bob Barrett,Republican,2010,filed,
27A,Peggy Bennett,Republican,2014,filed,
41A,Connie Bernardy,DFL,2001,filed,
20B,David Bly,DFL,2006,filed,
45A,Lyndon R. Carlson,DFL,1972,filed,
56A,Drew Christensen,Republican,2014,filed,
62A,Karen Clark,DFL,1980,filed,http://www.house.leg.state.mn.us/members/members.asp?id=10101
19B,Jack Considine,DFL,2014,filed,
23B,Tony Cornish,Republican,2002,filed,
24B,Brian Daniels,Republican,2014,filed,
31A,Kurt Daudt,Republican,2010,filed,
28B,Gregory M. Davids,Republican,1991,filed,
63A,Jim Davnie,DFL,2000,filed,
38B,Matt Dean,Republican,2004,filed,
59B,Raymond Deh,DFL,2012,filed,
39A,Bob Dettmer,Republican,2006,filed,
21B,Steve Drazkowski,Republican,2007,filed,
3A,Rob Ecklund,DFL,2015,filed,
49A,Ron Erhardt,DFL,1990,filed,
15A,Sondra Erickson,Republican,1998,filed,
1A,Dan Fabian,Republican,2010,filed,
53B,Kelly Fenton,Republican,2014,filed,
43A,Peter M Fischer,DFL,2012,filed,
46A,Peggy Flanagan,DFL,2015,filed,
8B,Mary Franson,Republican,2010,filed,
45B,Mike Freiberg,DFL,2012,filed,
58B,Patrick Garofalo,Republican,2004,filed,
2B,Steve Green,Republican,2012,filed,
18B,Glenn Gruenhagen,Republican,2010,filed,
23A,Bob Gunther,Republican,1995,filed,
31B,Tom Hackbarth,Republican,1994,filed,
51B,Laurie Halverson,DFL,2012,filed,
22B,Rod Hamilton,Republican,2004,filed,
2A,Dave Hancock,Republican,2010,retiring,
52A,Rick Hansen,DFL,2004,filed,
66A,Alice Hausman,DFL,1989,filed,
10A,Josh Heintzeman,Republican,2014,filed,
33A,Jerry Hertaus,Republican,2012,filed,
40B,Debra Hilstrom,DFL,2000,filed,
47B,Joe Hoppe,Republican,2002,filed,
61A,Frank Hornstein,DFL,2002,filed,
36B,Melissa Hortman,DFL,2004,filed,
13A,Jeff Howe,Republican,2012,filed,
42B,"Jason ""Ike"" Isaacson",DFL,2012,running for Senate,
32A,Brian Johnson,Republican,2012,filed,
19A,Clark Johnson,DFL,2013,filed,
67B,Sheldon Johnson,DFL,2000,filed,
60B,Phyllis Kahn,DFL,1972,filed,
21A,Tim Kelly,Republican,2008,retiring,
1B,"Debra ""Deb"" Kiel",Republican,2010,filed,
14B,Jim Knoblach,Republican,1994,filed,
58A,Jon Koznick,Republican,2014,filed,
9B,Ron Kresha,Republican,2012,filed,
41B,Carolyn Laine,DFL,2006,running for Senate,
66B,John Lesch,DFL,2002,filed,
26A,Tina Liebling,DFL,2004,filed,
4A,Ben Lien,DFL,2012,filed,
43B,Leon M. Lillie,DFL,2004,filed,
60A,Diane Loeffler,DFL,2004,filed,
39B,Kathy Lohmer,Republican,2010,filed,
48B,Jenifer W. Loon,Republican,2008,filed,
55A,Bob Loonan,Republican,2014,filed,
30B,Eric Lucero,Republican,2014,filed,
10B,Dale K Lueck,Republican,2014,filed,
57A,Tara Mack,Republican,2008,retiring,
67A,Tim Mahoney,DFL,1998,filed,
65B,Carlos Mariani,DFL,1990,filed,
4B,Paul Marquart,DFL,2000,filed,
51A,Sandra Masin,DFL,2006,filed,
29A,Joseph McDonald,Republican,2010,filed,
54B,Denny McNamara,Republican,2002,filed,
6A,Carly Melin,DFL,2011,retiring,
6B,Jason I. Metsa,DFL,2012,filed,
17A,Tim Miller,Republican,2014,filed,
65A,Rena Moran,DFL,2010,filed,
59A,Joe Mullery,DFL,1996,filed,
64A,Erin Murphy,DFL,2006,filed,
3B,Mary Murphy,DFL,1976,filed,
47A,Jim Nash,Republican,2014,filed,
40A,Michael Nelson,DFL,2002,filed,
15B,Jim Newberger,Republican,2012,filed,
37A,Jerry Newton,DFL,2008,running for Senate,
8A,Bud Nornes,Republican,1996,filed,
25B,Kim Norton,DFL,2006,retiring,
13B,Tim O'Driscoll,Republican,2010,filed,
29B,Marion O'Neill,Republican,2012,filed,
28A,Gene Pelowski Jr.,DFL,1986,filed,
34A,Joyce Peppin,Republican,2004,filed,
5A,John Persell,DFL,2008,filed,
24A,John Petersburg,Republican,2012,filed,
56B,Roz Peterson,Republican,2014,filed,
26B,Nels T. Pierson,Republican,2014,filed,
64B,Dave Pinto,DFL,2014,filed,
27B,Jeanne Poppe,DFL,2004,filed,
33B,Cindy Pugh,Republican,2012,filed,
25A,Duane Quam,Republican,2010,filed,
11B,Jason Rarick,Republican,2014,filed,
49B,Paul Rosenthal,DFL,2008,filed,
38A,Linda Runbeck,Republican,1989,filed,
37B,Tim Sanders,Republican,2008,retiring,
54A,Dan Schoen,DFL,2012,running for Senate,
22A,Joe Schomacker,Republican,2010,filed,
7A,Jennifer Schultz,DFL,2014,filed,
35B,Peggy Scott,Republican,2008,filed,
48A,Yvonne Selcer,DFL,2012,retiring,
7B,Erik Simonson,DFL,2012,running for Senate,
50A,Linda Slocum,DFL,2006,filed,
34B,Dennis Smith,Republican,2014,filed,
11A,Mike Sundin,DFL,2012,filed,
16A,Chris Swedzinski,Republican,2010,filed,
14A,Tama Theis,Republican,2013,filed,
61B,Paul Thissen,DFL,2002,filed,
16B,Paul Torkelson,Republican,2008,filed,
36A,Mark W. Uglem,Republican,2012,filed,
18A,Dean Urdahl,Republican,2002,filed,
20A,Bob Vogel,Republican,2014,filed,
63B,Jean Wagenius,DFL,1986,filed,
53A,JoAnn Ward,DFL,2012,filed,
35A,Abigail Whelan,Republican,2014,filed,
57B,Anna Wills,Republican,2012,filed,
42A,Barb Yarusso,DFL,2012,filed,
46B,Cheryl Youakim,DFL,2014,filed,
30A,Nick Zerwas,Republican,2012,filed,
,,,,,
,,,,,
Source: MN House; Secretary of State,,,,,
Retirement list: http://www.twincities.com/2016/01/28/minnesota-lawmakers-who-wont-be-back-lists-and-charts/,,,,,